income,age,employment_years,num_credit_lines,outstanding_debt,credit_utilisation,late_payments,delinquencies,mortgage,loan_amount,default
53011.86,36,9,2,20991.0,0.396,1,0,1,13950.15,1
54865.08,41,26,7,18459.02,0.336,0,0,1,0.0,1
50863.09,57,6,0,50345.51,0.99,0,0,1,0.0,1
26689.81,27,7,4,21.51,0.001,0,0,0,6691.22,0
44643.23,35,2,1,0.0,0.0,0,0,0,9339.86,0
42333.72,23,19,7,9320.86,0.22,1,0,1,21089.97,1
44373.77,68,28,9,40549.85,0.914,0,0,1,7898.84,1
57428.58,32,7,5,7089.71,0.123,0,0,0,13392.1,0
44471.91,41,7,5,20901.66,0.47,1,0,0,0.0,1
53578.27,43,11,5,31422.96,0.586,0,0,0,4024.57,1
41351.58,39,7,2,25819.91,0.624,2,0,0,14988.76,1
45782.39,62,33,4,29849.35,0.652,1,0,1,26884.99,1
52625.76,70,6,11,36532.37,0.694,0,0,0,0.0,1
10856.88,50,11,0,15709.16,1.447,0,0,0,6283.65,1
33606.58,65,12,9,6504.92,0.194,0,0,0,0.0,1
30592.55,24,8,1,15267.54,0.499,1,0,1,5961.34,1
27222.44,73,37,1,7636.44,0.281,1,0,1,18416.81,1
34497.15,24,8,3,51272.99,1.486,0,0,0,17231.28,1
69898.83,21,19,3,9000.03,0.129,2,0,0,7512.34,1
22683.38,19,22,3,19515.45,0.86,0,0,0,5415.79,1
59365.57,31,10,10,0.0,0.0,0,0,1,34008.13,0
8000.0,65,18,10,12792.28,1.599,1,0,0,5821.48,1
33302.3,35,6,8,9023.67,0.271,0,0,1,2490.69,1
43255.06,63,19,1,24460.79,0.565,2,0,0,2361.7,1
51724.45,42,0,11,25698.74,0.497,1,0,1,0.0,1
54224.53,23,17,10,36677.43,0.676,1,0,1,12380.72,1
55866.94,44,14,0,35650.23,0.638,2,0,1,14476.99,1
33025.5,31,14,4,12307.98,0.373,0,0,0,14125.21,1
30752.96,34,4,9,0.0,0.0,1,0,0,15734.56,1
57159.52,47,39,1,3309.36,0.058,0,3,0,2028.73,0
36173.91,63,1,0,18158.46,0.502,0,0,0,6341.01,1
14486.27,51,5,7,13815.42,0.954,1,0,0,19504.04,1
17334.26,30,4,4,15602.32,0.9,0,0,1,3284.15,1
21610.95,58,39,5,4134.44,0.191,1,0,1,2366.77,1
49943.21,57,12,9,36552.88,0.732,0,0,0,17933.91,1
42848.51,31,17,6,0.0,0.0,1,0,1,24.37,0
53809.71,66,30,8,6523.99,0.121,1,0,0,0.0,0
31454.95,66,2,1,0.0,0.0,2,0,0,0.0,0
43170.79,52,2,0,11182.48,0.259,0,0,0,35009.44,1
52511.81,34,7,3,33949.68,0.647,0,0,0,18052.22,1
33813.07,38,27,2,9065.0,0.268,2,0,1,14203.42,1
49135.5,43,39,3,16435.71,0.334,1,0,0,0.0,1
26761.48,28,24,9,22639.79,0.846,2,0,0,12976.04,1
32738.92,35,34,1,8244.15,0.252,1,0,1,24935.22,1
32365.24,25,35,1,18975.94,0.586,0,0,0,11604.39,1
16083.21,26,11,2,15369.66,0.956,1,0,0,0.0,1
49739.45,60,7,3,0.0,0.0,0,0,1,13338.36,1
30611.95,25,6,2,6096.46,0.199,0,0,0,6394.43,0
40249.88,44,31,2,19343.77,0.481,1,0,1,9368.06,1
49614.93,42,26,6,34194.37,0.689,3,0,1,0.0,1
48930.62,20,34,1,34111.97,0.697,1,0,1,379.28,1
53307.7,65,20,1,46763.08,0.877,1,0,0,3270.43,1
38030.29,74,39,10,21084.89,0.554,0,0,1,219.48,1
31534.03,54,35,0,6953.68,0.221,0,0,0,7409.37,1
38405.64,56,32,0,12881.28,0.335,0,0,0,1161.45,1
8000.0,31,32,0,9093.53,1.137,1,0,1,24367.78,1
11057.75,66,4,6,4987.57,0.451,1,0,1,12916.34,1
13546.01,62,29,8,17098.93,1.262,1,0,1,15581.72,1
20055.06,42,37,8,18447.83,0.92,1,0,1,6609.56,1
47995.48,58,11,8,0.0,0.0,2,0,1,0.0,1
21890.42,72,32,0,28511.59,1.302,1,0,0,16393.45,1
32436.75,52,14,4,0.0,0.0,0,0,0,6904.05,0
65984.57,29,8,7,13261.23,0.201,0,0,1,12165.26,1
32874.72,36,29,8,30527.2,0.929,0,0,0,7287.08,1
54750.31,28,6,4,24585.9,0.449,0,0,0,0.0,1
21327.65,36,19,10,6778.16,0.318,2,0,1,3695.97,1
35891.25,68,37,10,43121.48,1.201,1,0,0,0.0,1
20999.56,28,6,9,5498.85,0.262,0,0,1,10076.23,1
33219.34,68,6,9,0.0,0.0,1,0,1,12582.29,0
56806.16,34,37,11,22471.71,0.396,0,0,1,29546.85,1
8000.0,46,31,9,0.0,0.0,1,0,0,12667.32,1
48688.47,48,18,7,2397.12,0.049,0,0,1,2396.03,0
44754.71,25,16,4,23816.72,0.532,0,0,1,3770.65,1
28117.0,28,38,4,5898.84,0.21,1,0,1,13156.79,1
11078.84,35,28,9,19817.03,1.789,1,0,0,16448.79,1
41442.59,21,36,3,0.0,0.0,2,0,0,0.0,0
29410.15,60,3,7,25818.22,0.878,1,0,0,5526.74,1
44653.52,49,21,6,0.0,0.0,0,0,0,6452.23,0
40437.04,66,29,4,33823.18,0.836,0,0,0,0.0,1
72035.58,67,1,5,10073.21,0.14,0,0,0,15201.74,0
35212.89,37,20,0,36488.67,1.036,3,0,1,10251.07,1
19530.05,64,2,8,0.0,0.0,1,0,1,6036.01,1
43585.51,21,36,0,43230.03,0.992,0,0,1,10434.46,1
44399.93,42,27,0,75.08,0.002,3,0,1,14533.38,0
67183.75,55,7,3,0.0,0.0,0,0,0,27340.14,0
56702.22,44,20,6,16316.77,0.288,2,0,1,14548.11,1
47137.42,60,4,3,33223.58,0.705,0,0,1,0.0,1
69266.06,66,32,10,28788.43,0.416,0,0,0,36200.51,1
16224.74,42,7,11,29067.04,1.791,0,0,1,0.0,1
27204.97,33,24,4,24878.3,0.914,0,4,1,11897.17,1
21468.48,51,3,11,0.0,0.0,3,0,1,5931.12,1
32203.8,67,6,1,24716.63,0.767,1,0,0,6815.06,1
12466.28,74,39,1,12639.14,1.014,0,0,1,11791.86,1
52703.02,64,15,4,4624.33,0.088,0,0,0,12550.63,1
35555.55,31,4,11,16245.87,0.457,3,0,1,21803.85,1
10583.87,29,27,6,10213.5,0.965,0,0,1,1417.58,1
19688.42,50,8,8,33208.73,1.687,0,4,1,11997.07,1
46270.28,40,23,7,6903.87,0.149,1,0,1,14077.76,1
56762.53,52,32,5,7251.99,0.128,0,0,1,31533.84,0
79934.62,70,27,11,7513.88,0.094,0,0,0,12996.59,0
98277.25,49,9,11,48280.45,0.491,1,0,0,0.0,1
48288.19,38,9,5,5188.52,0.107,0,0,1,21744.24,0
20209.24,67,8,8,31473.5,1.557,2,0,1,3567.95,1
8000.0,43,25,7,0.0,0.0,0,0,1,0.0,0
45354.23,52,26,7,22134.78,0.488,1,0,1,21265.2,1
23741.18,25,20,1,16311.76,0.687,1,0,0,9325.63,1
31692.85,46,15,2,31669.81,0.999,0,0,1,6006.11,1
27758.06,42,2,11,29101.49,1.048,0,0,0,24859.05,1
37184.18,25,33,2,14946.77,0.402,0,0,1,2873.59,1
61319.6,30,26,7,8075.82,0.132,0,0,0,2801.25,1
43140.97,58,25,10,38688.52,0.897,0,2,0,12965.62,1
36827.3,28,4,7,4128.52,0.112,1,0,1,0.0,0
19286.92,25,11,2,0.0,0.0,0,4,1,9611.21,0
8000.0,21,12,10,0.0,0.0,1,0,1,8795.18,0
30273.84,19,23,0,0.0,0.0,0,0,0,0.0,1
38924.35,42,31,8,22827.87,0.586,0,0,0,7829.11,1
75358.6,45,34,3,50752.87,0.673,0,0,0,10594.11,1
42605.49,53,20,7,0.0,0.0,0,0,0,7566.96,1
59654.79,50,14,5,4227.16,0.071,0,2,1,16162.84,1
30014.09,48,16,6,14336.8,0.478,0,0,1,10698.84,1
16301.12,74,29,4,34812.72,2.135,0,0,0,6306.21,1
20697.66,32,12,6,250.7,0.012,0,0,0,15014.06,0
25495.48,58,16,11,21411.55,0.84,1,0,1,10683.88,1
82569.39,22,31,9,14505.6,0.176,1,0,0,38014.07,1
23572.27,66,21,5,51464.65,2.183,0,0,0,18232.84,1
56769.78,38,18,11,17845.08,0.314,0,0,0,2705.01,1
21941.46,37,29,10,17529.48,0.799,0,0,0,0.0,1
58631.46,25,11,7,17127.0,0.292,0,0,0,1220.35,1
47699.02,47,2,7,8549.6,0.179,1,0,0,0.0,0
36867.24,40,31,0,27934.78,0.758,0,0,1,14650.63,1
39184.75,73,18,6,0.0,0.0,1,0,0,5090.59,0
26904.25,28,13,2,0.0,0.0,0,0,0,313.35,1
48921.44,41,3,1,12639.22,0.258,1,0,1,13979.89,1
30900.33,69,37,10,25323.49,0.819,0,0,0,4306.4,1
15487.88,64,29,3,2837.13,0.183,1,0,1,11941.11,0
14441.25,61,10,7,14241.48,0.986,1,0,0,5338.49,1
43451.76,47,24,10,0.0,0.0,0,0,0,8769.43,0
71581.83,67,18,7,33098.13,0.462,0,0,0,20903.36,1
43199.83,30,13,9,24098.63,0.558,1,0,1,17149.25,1
37627.23,64,12,9,14058.65,0.374,0,0,0,22329.23,0
45716.52,51,3,5,17102.6,0.374,0,0,1,11442.56,1
66120.03,37,38,11,0.0,0.0,0,4,0,0.0,1
44387.65,30,37,10,0.0,0.0,0,0,1,1156.02,0
31781.46,47,34,4,11348.27,0.357,2,0,1,0.0,1
62125.77,18,12,9,23918.6,0.385,0,0,1,17186.19,1
48575.13,58,39,2,23323.19,0.48,0,0,0,8153.95,1
70715.12,31,11,1,11627.52,0.164,0,0,0,20594.54,0
43664.69,40,32,6,25547.14,0.585,0,0,1,18378.88,1
15510.62,29,4,7,32862.93,2.119,1,0,0,6741.89,1
12636.82,44,12,7,9933.67,0.786,0,0,1,25458.01,1
73018.56,39,23,9,21946.81,0.301,1,0,1,17593.03,1
74473.31,28,38,4,14329.52,0.192,1,0,1,8814.44,0
36409.62,68,10,9,11746.37,0.323,0,0,1,12348.49,1
32336.25,61,17,10,15777.09,0.488,1,0,0,22139.06,1
69228.89,40,33,1,42471.85,0.613,0,0,1,12475.71,1
17859.09,21,18,5,25515.05,1.429,1,0,1,1339.52,1
22105.46,66,27,2,24588.31,1.112,0,2,0,0.0,1
52866.54,57,16,7,8480.51,0.16,0,0,1,5353.7,1
32107.9,49,0,4,0.0,0.0,1,0,1,1192.3,1
39897.56,52,11,3,19832.79,0.497,0,0,1,10041.92,1
36731.14,18,22,3,32329.29,0.88,0,0,0,2847.99,1
46751.49,45,0,4,40526.21,0.867,1,0,1,4164.61,1
68149.64,28,9,1,0.0,0.0,0,0,0,20126.07,0
41811.7,55,38,1,50876.99,1.217,0,0,1,24559.52,1
52878.78,71,0,7,21542.68,0.407,0,0,0,225.87,1
8000.0,48,9,11,24433.96,3.054,1,0,1,4408.59,1
39025.63,52,24,6,0.0,0.0,0,0,0,5701.22,1
23135.39,56,22,11,8759.95,0.379,0,0,0,11137.83,1
15623.74,70,8,1,23905.09,1.53,0,0,0,11440.71,1
22436.95,20,2,11,0.0,0.0,3,0,1,2923.95,0
33317.53,35,35,7,0.0,0.0,1,0,1,13097.88,0
58318.05,33,22,8,20864.39,0.358,0,0,0,3381.82,1
13472.15,58,22,0,10600.48,0.787,0,0,1,4266.21,1
40612.63,43,2,7,35681.32,0.879,0,0,1,0.0,1
30316.61,62,8,4,10632.88,0.351,1,0,1,18354.63,1
33446.54,44,2,10,12043.87,0.36,0,0,1,17089.04,1
60055.16,73,39,9,26470.68,0.441,0,0,1,11467.44,1
50762.31,61,30,10,30579.04,0.602,0,0,1,14629.34,1
66747.96,19,21,10,6043.57,0.091,0,0,0,19085.14,0
36909.89,74,27,8,27858.47,0.755,0,0,0,15520.13,1
26081.15,72,6,2,4782.11,0.183,0,0,0,15278.3,1
35522.82,20,39,3,13800.11,0.388,0,0,0,3710.86,1
44849.94,40,20,10,24546.54,0.547,0,0,0,0.0,1
43531.47,73,20,7,27030.19,0.621,1,0,1,94.91,1
18312.24,65,38,10,16605.95,0.907,1,0,1,29949.42,1
41809.8,44,3,9,0.0,0.0,1,0,1,5626.19,0
44564.57,49,16,7,0.0,0.0,1,0,1,24006.91,0
90349.48,19,3,1,16215.61,0.179,0,0,0,13415.15,1
77536.89,50,17,11,32322.96,0.417,1,0,1,7700.3,1
22935.13,55,10,2,19038.97,0.83,1,0,0,0.0,1
34252.33,38,18,2,17055.73,0.498,3,0,0,967.39,1
10731.16,35,28,1,10967.72,1.022,0,0,1,6682.56,1
28185.86,65,11,0,17455.11,0.619,0,0,1,6653.91,1
46312.1,43,2,4,0.0,0.0,1,0,0,13463.8,1
64117.07,33,6,10,28114.73,0.438,0,0,1,1216.63,1
25418.32,39,28,10,25236.43,0.993,0,0,1,1581.89,1
26917.07,46,23,5,7362.72,0.274,1,0,1,16724.34,1
8000.0,32,39,3,17355.11,2.169,2,0,0,26986.01,1
36746.68,49,35,4,0.0,0.0,1,0,0,8854.83,0
18751.71,67,6,11,14575.89,0.777,0,0,1,12434.45,1
29411.21,60,29,0,10944.24,0.372,1,0,1,6532.65,1
22462.78,31,3,0,31134.77,1.386,0,0,0,7357.85,1
38114.75,44,3,0,10831.83,0.284,1,0,1,5882.29,1
8000.0,48,31,10,23829.97,2.978,0,0,0,4502.43,1
10659.1,56,16,1,5198.32,0.488,0,0,0,13550.48,1
82584.94,61,39,11,0.0,0.0,0,0,1,14169.85,0
14251.55,45,0,2,8042.11,0.564,0,4,1,5561.02,1
18064.29,35,20,6,14757.79,0.817,1,0,1,2257.64,1
76738.27,55,12,11,19936.39,0.26,0,0,0,3227.62,1
98101.34,25,39,1,22299.39,0.227,1,0,1,14517.12,1
16568.67,56,26,3,4060.05,0.245,0,0,0,0.0,1
32635.02,69,30,8,8407.59,0.258,2,0,0,0.0,1
46831.11,58,11,9,0.0,0.0,0,0,0,10823.27,0
74573.95,42,35,10,0.0,0.0,1,0,0,7331.16,0
20262.86,64,33,0,10429.4,0.515,0,0,0,6609.68,1
35094.44,48,31,9,2331.4,0.066,0,0,0,16333.39,1
55546.75,48,19,3,31752.21,0.572,0,0,0,7482.82,1
48695.32,66,36,6,0.0,0.0,2,0,0,1452.55,0
32476.88,29,26,10,17612.97,0.542,0,0,1,9707.52,1
37323.54,62,2,10,45554.66,1.221,1,0,0,1478.18,1
12502.08,56,35,2,8507.51,0.68,2,0,0,16851.67,1
35236.53,48,0,5,13482.43,0.383,0,0,1,8224.83,1
34672.25,22,27,3,19862.43,0.573,1,0,1,0.0,1
44643.4,61,9,7,22032.13,0.494,1,0,0,9555.65,1
28893.46,30,35,9,6761.74,0.234,0,0,0,49.4,1
49430.77,69,29,3,0.0,0.0,0,0,0,18274.54,0
60254.32,63,32,1,25816.24,0.428,1,0,1,7011.66,1
43108.59,38,27,0,0.0,0.0,0,0,1,14295.87,0
47035.13,42,22,0,27186.94,0.578,1,0,1,1818.16,1
41063.11,19,34,4,8229.33,0.2,0,0,0,6065.57,0
40001.69,46,11,11,14046.45,0.351,0,0,0,12145.88,1
25568.84,21,21,3,4672.77,0.183,1,2,1,6426.73,1
46329.89,74,11,4,36096.23,0.779,2,0,0,0.0,1
38054.27,54,4,8,17540.59,0.461,0,0,0,15179.42,1
81863.37,31,35,7,13360.27,0.163,0,0,0,10825.46,1
71467.1,63,19,3,11898.17,0.166,1,0,1,0.0,0
47716.93,19,2,1,12549.34,0.263,0,0,0,4372.77,1
24738.86,49,33,1,48427.99,1.957,1,0,0,0.0,1
17751.77,24,37,2,0.0,0.0,0,0,0,3142.02,0
63822.86,21,26,1,32625.52,0.511,0,0,0,3483.15,1
45254.98,31,13,5,23047.08,0.509,1,0,1,5626.06,1
49602.87,34,34,7,38057.46,0.767,0,0,0,0.0,1
8000.0,59,29,8,20236.0,2.529,0,0,1,3841.84,1
58548.77,68,11,10,15905.32,0.272,1,0,0,17633.98,1
49088.41,62,13,3,30209.26,0.615,0,0,1,25241.04,1
17791.39,60,39,7,15225.67,0.856,2,0,0,0.0,1
30569.5,50,38,10,24381.29,0.798,0,0,0,18786.2,1
45274.34,39,27,0,35950.73,0.794,1,0,1,30359.07,1
41049.34,32,1,9,15492.73,0.377,0,0,0,6037.64,1
34156.58,71,9,1,7049.88,0.206,0,0,1,13107.82,1
37930.23,47,14,6,4135.85,0.109,2,0,1,18147.58,1
34960.45,50,21,9,20254.15,0.579,0,0,0,3641.79,1
43051.25,18,34,5,1132.6,0.026,0,0,0,17505.61,1
69429.84,44,33,6,11695.91,0.168,2,3,0,6089.48,1
8000.0,56,10,7,0.0,0.0,1,0,0,17578.42,1
35262.99,46,4,6,21151.39,0.6,0,0,0,23167.6,1
43530.25,53,11,8,3070.69,0.071,0,0,1,20585.28,1
45919.88,64,9,10,0.0,0.0,2,0,1,4862.97,0
32561.71,19,35,1,0.0,0.0,0,0,1,13985.98,1
8000.0,69,0,4,2233.67,0.279,1,1,0,3314.58,1
46559.91,64,33,10,7451.48,0.16,0,0,0,0.0,0
74547.0,41,26,4,21226.49,0.285,2,0,1,5788.9,1
9322.77,61,4,5,8507.93,0.912,0,0,0,16178.88,1
57276.56,21,27,8,21282.32,0.372,1,0,1,5279.74,1
33429.5,35,23,11,20102.14,0.601,1,0,0,22558.29,1
38773.51,24,0,3,24984.84,0.644,1,0,0,8776.54,1
18942.03,54,8,11,0.0,0.0,2,0,0,0.0,0
33310.88,66,13,8,0.0,0.0,0,0,0,5259.8,1
66000.89,52,8,0,24923.39,0.378,1,0,0,1602.77,1
51653.1,58,23,10,18336.5,0.355,0,0,1,21175.32,1
74646.23,26,24,4,32118.62,0.43,0,0,0,13052.18,1
63548.24,71,6,3,0.0,0.0,0,0,1,7382.43,1
48781.73,29,4,6,7750.85,0.159,0,0,1,15448.38,0
74878.69,48,26,6,13042.17,0.174,1,0,0,272.35,1
48779.86,56,18,6,17376.44,0.356,0,0,0,0.0,1
56559.76,66,10,0,16194.14,0.286,1,0,1,0.0,1
34068.58,71,10,9,20443.02,0.6,0,0,0,0.0,1
41330.92,52,1,4,12413.28,0.3,1,0,0,0.0,1
26051.52,50,34,1,33190.2,1.274,0,0,1,13645.87,1
59791.68,41,33,6,41347.31,0.692,0,0,0,15304.02,1
16433.93,50,22,7,0.0,0.0,1,0,0,0.0,1
55647.01,56,13,1,16241.37,0.292,2,0,0,0.0,1
36186.98,54,8,11,25588.61,0.707,1,0,0,3952.08,1
63424.94,51,12,7,25122.41,0.396,1,0,1,12996.76,1
55017.38,43,37,11,9384.08,0.171,1,0,0,16336.14,1
76412.92,29,3,8,21464.27,0.281,0,0,0,10433.73,1
54615.49,21,32,0,0.0,0.0,1,0,1,0.0,0
8559.19,41,12,2,10568.79,1.235,2,0,0,15280.98,1
38660.94,40,10,11,0.0,0.0,1,0,1,11945.74,0
16559.86,52,32,6,19275.67,1.164,0,0,1,15396.01,1
29634.4,69,38,1,0.0,0.0,0,0,0,0.0,1
70224.57,57,39,0,19467.95,0.277,0,0,1,13134.06,1
52750.68,63,10,6,20063.0,0.38,0,0,1,16684.09,1
26021.39,50,23,7,13740.1,0.528,0,0,0,0.0,1
19725.65,70,11,2,2493.27,0.126,2,0,1,1843.63,0
40655.64,71,7,2,10910.04,0.268,0,0,0,0.0,0
15668.8,26,15,7,29282.96,1.869,3,0,0,0.0,1
26577.19,54,2,5,6288.59,0.237,1,0,1,6964.04,1
46240.19,46,6,0,14945.47,0.323,0,0,1,0.0,1
63106.24,73,23,0,7958.79,0.126,0,0,0,19122.19,0
52175.23,51,27,2,30523.93,0.585,1,0,1,19266.81,1
8000.0,18,10,6,11967.46,1.496,0,0,1,6696.14,1
46087.33,29,22,3,3149.12,0.068,1,0,0,1432.13,1
41440.67,25,30,0,14250.95,0.344,0,0,0,7561.24,1
48277.81,29,35,10,11212.3,0.232,3,0,0,22590.97,1
72324.19,23,22,8,38121.15,0.527,0,0,1,14247.4,1
8000.0,62,9,7,10129.69,1.266,0,0,1,0.0,1
28177.93,46,28,2,0.0,0.0,0,0,0,0.0,1
51818.13,56,6,8,22661.31,0.437,1,0,0,0.0,1
8368.11,74,5,11,37628.12,4.496,0,0,1,7569.0,1
69518.98,54,14,8,34905.86,0.502,1,0,0,0.0,1
47367.13,45,13,3,0.0,0.0,0,0,1,5939.42,0
56931.68,33,5,4,11662.25,0.205,1,0,0,0.0,1
28581.13,61,2,11,12397.87,0.434,1,0,1,8080.01,1
56275.27,46,37,0,15349.29,0.273,0,0,0,10175.37,1
61369.43,61,27,2,21851.37,0.356,0,0,1,25041.93,1
44657.56,19,28,1,9304.24,0.208,0,0,0,6678.71,1
44688.02,27,2,7,734.44,0.016,0,0,0,4448.21,0
45406.86,25,31,5,28817.69,0.635,0,0,1,21336.04,1
22733.09,56,14,1,0.0,0.0,0,0,1,14531.72,0
37049.43,47,29,11,1673.19,0.045,0,0,1,8426.46,0
36949.55,36,19,6,0.0,0.0,0,0,0,4957.81,0
47667.88,35,9,2,23949.97,0.502,0,0,0,25008.82,1
59996.48,52,10,11,17596.72,0.293,0,1,0,678.56,1
18829.28,73,5,8,25135.48,1.335,0,0,1,0.0,1
37499.82,74,33,1,1972.08,0.053,0,0,0,6083.13,0
69629.11,44,17,9,0.0,0.0,1,0,1,4836.89,0
25128.24,56,31,0,5854.31,0.233,1,0,1,20054.9,1
23555.0,22,33,10,9618.04,0.408,0,0,1,9556.74,0
44046.12,71,6,4,17541.06,0.398,0,0,1,17151.77,1
56887.7,19,13,3,0.0,0.0,0,0,0,0.0,1
40228.52,37,4,0,21203.81,0.527,2,0,0,4657.8,1
66579.21,59,0,11,3244.34,0.049,0,0,0,22757.61,0
57135.88,73,39,6,6002.35,0.105,1,0,0,0.0,1
56836.4,27,26,7,33289.28,0.586,0,0,0,5208.01,1
51082.33,55,18,10,0.0,0.0,0,0,1,16390.69,1
86553.06,28,8,6,23492.84,0.271,0,0,0,2952.81,0
35896.77,20,23,3,18370.61,0.512,0,0,0,15824.4,1
8000.0,42,21,9,0.0,0.0,0,0,0,1958.71,1
72085.09,50,8,6,10503.44,0.146,0,0,0,7626.27,0
30846.01,33,0,2,31400.3,1.018,0,1,0,14710.19,1
42157.61,73,18,10,43659.61,1.036,0,4,1,0.0,1
66191.01,53,20,9,32589.99,0.492,0,0,1,0.0,1
8000.0,42,31,2,39088.08,4.885,0,0,1,17142.44,1
14967.06,45,15,7,1126.73,0.075,1,0,1,121.41,0
8000.0,44,3,11,0.0,0.0,0,0,0,9264.03,0
24117.27,24,35,9,11622.4,0.482,0,0,1,17738.51,1
48792.73,52,16,2,26952.15,0.552,0,0,1,8921.37,1
50483.76,62,28,10,0.0,0.0,0,3,1,10728.19,0
45525.48,42,1,0,655.7,0.014,0,0,0,23495.18,1
11744.68,42,1,7,0.0,0.0,0,0,0,31006.89,0
8000.0,69,0,6,16148.45,2.018,0,0,0,9361.49,1
41087.07,52,31,0,17523.0,0.426,0,0,0,3759.46,1
30564.48,34,9,8,1429.04,0.047,0,0,1,16333.02,1
49187.72,18,31,3,17615.94,0.358,0,0,0,231.76,1
54039.07,64,37,10,0.0,0.0,1,0,1,21130.48,0
42764.83,53,26,10,7880.11,0.184,1,0,1,2527.9,1
55202.66,53,39,7,0.0,0.0,1,3,0,3766.62,1
44584.23,34,37,7,12204.86,0.274,0,0,1,0.0,1
50601.29,28,28,0,3052.79,0.06,1,0,0,0.0,1
25906.53,46,32,10,22946.28,0.886,1,0,0,19803.87,1
36407.77,61,24,8,13247.97,0.364,2,0,1,11424.66,1
43935.52,34,8,4,10992.41,0.25,1,0,0,7473.73,1
56410.57,48,4,1,42162.92,0.747,1,4,0,28503.45,1
32125.18,74,15,6,18961.84,0.59,0,0,0,9183.3,1
50423.35,30,19,10,9520.02,0.189,0,0,1,7823.99,1
34683.22,31,13,10,4712.29,0.136,0,0,0,0.0,1
37649.16,31,4,1,0.0,0.0,1,0,1,0.0,1
56590.38,70,20,9,14670.78,0.259,0,0,1,0.0,1
8000.0,48,19,0,15414.2,1.927,0,0,1,1143.47,1
14070.55,70,38,4,0.0,0.0,1,0,1,3320.77,0
10356.29,72,38,5,0.0,0.0,0,0,0,5148.51,1
8000.0,41,24,0,3058.46,0.382,2,0,1,14994.81,1
26434.71,21,34,1,0.0,0.0,0,0,1,7748.48,1
54988.68,35,12,10,16147.73,0.294,0,0,0,25881.55,1
34302.32,48,38,7,16162.51,0.471,0,0,1,14302.96,1
43955.8,39,37,9,12560.97,0.286,0,0,1,934.74,1
61784.35,18,5,6,24431.05,0.395,1,0,1,12521.61,1
66553.72,74,28,5,7881.69,0.118,0,0,0,9512.35,0
38617.24,35,18,0,13173.15,0.341,0,0,0,21965.01,1
67071.72,53,10,6,1657.47,0.025,2,0,1,16212.58,1
41842.53,71,16,9,18453.55,0.441,2,0,0,8677.55,1
23252.04,49,36,2,13463.83,0.579,0,0,1,25485.88,1
28111.99,57,36,5,0.0,0.0,0,0,0,13573.06,0
10389.27,20,13,4,8713.04,0.839,1,0,0,14011.93,1
22237.32,57,18,10,11656.4,0.524,0,0,1,23031.41,1
